user_id,image_id,class
74,0,1
26,1,6
79,2,6
34,3,8
1,4,8
16,5,3
46,6,4
36,7,6
41,8,0
99,9,6
52,10,0
79,11,3
60,12,6
38,13,6
56,14,5
39,15,4
6,16,8
22,17,3
4,18,2
80,19,6
3,20,0
73,21,3
59,22,1
87,23,4
92,24,0
21,25,6
21,26,6
38,27,2
0,28,7
95,29,6
22,30,9
20,31,0
48,32,4
88,33,5
34,34,7
33,35,1
61,36,6
72,37,7
31,38,9
95,39,1
6,40,7
18,41,7
35,42,8
75,43,0
36,44,3
89,45,7
85,46,4
43,47,7
86,48,3
41,49,1
50,50,0
77,51,4
77,52,6
38,53,6
50,54,1
15,55,4
10,56,9
50,57,2
84,58,6
7,59,4
2,60,5
80,61,0
53,62,4
40,63,6
74,64,0
24,65,8
82,66,3
70,67,4
71,68,8
24,69,8
75,70,3
23,71,9
84,72,5
57,73,7
47,74,1
39,75,9
67,76,4
27,77,7
36,78,9
96,79,1
13,80,9
89,81,7
88,82,5
29,83,2
92,84,7
35,85,3
88,86,4
63,87,8
12,88,8
45,89,2
43,90,1
63,91,5
80,92,9
50,93,2
49,94,7
69,95,8
19,96,8
5,97,6
68,98,8
5,99,8
81,100,1
47,101,3
24,102,8
51,103,8
94,104,5
39,105,4
45,106,7
69,107,1
16,108,6
78,109,6
97,110,1
57,111,6
41,112,1
99,113,6
45,114,7
2,115,0
34,116,4
33,117,6
65,118,9
25,119,5
20,120,8
73,121,7
97,122,1
16,123,9
7,124,0
79,125,3
75,126,3
31,127,7
23,128,6
48,129,9
54,130,0
26,131,4
31,132,7
56,133,1
41,134,4
53,135,3
44,136,4
57,137,3
45,138,9
74,139,8
77,140,7
33,141,0
42,142,8
35,143,3
67,144,9
6,145,1
26,146,0
3,147,8
27,148,0
34,149,9
82,150,4
64,151,0
9,152,2
99,153,1
8,154,4
46,155,2
42,156,7
68,157,1
18,158,7
75,159,0
6,160,2
62,161,9
73,162,7
80,163,9
35,164,8
34,165,6
63,166,4
21,167,4
14,168,1
46,169,1
87,170,7
40,171,8
73,172,8
66,173,6
16,174,4
83,175,5
58,176,6
0,177,3
80,178,9
77,179,4
62,180,2
90,181,5
79,182,3
83,183,6
73,184,7
69,185,7
70,186,3
54,187,9
7,188,1
34,189,3
72,190,1
19,191,8
42,192,3
56,193,3
56,194,5
14,195,6
26,196,4
54,197,0
4,198,9
9,199,6
83,200,6
26,201,5
95,202,0
24,203,6
96,204,2
40,205,0
85,206,5
11,207,4
25,208,9
7,209,3
46,210,4
1,211,6
94,212,0
96,213,6
53,214,7
2,215,0
72,216,7
95,217,2
57,218,6
35,219,9
50,220,6
66,221,5
1,222,4
42,223,5
29,224,4
87,225,7
22,226,7
95,227,6
37,228,8
69,229,1
84,230,5
66,231,9
29,232,7
19,233,8
40,234,8
44,235,7
96,236,1
48,237,4
83,238,6
46,239,4
47,240,2
88,241,2
97,242,5
92,243,0
65,244,3
15,245,8
31,246,9
77,247,4
99,248,1
22,249,1
81,250,4
44,251,1
25,252,9
14,253,6
81,254,3
83,255,3
14,256,6
4,257,9
72,258,5
28,259,7
55,260,6
56,261,9
1,262,4
76,263,2
72,264,4
43,265,0
2,266,0
15,267,0
44,268,8
33,269,7
29,270,5
96,271,1
37,272,8
17,273,6
36,274,7
15,275,0
95,276,1
27,277,7
29,278,7
7,279,8
0,280,2
78,281,7
88,282,4
14,283,8
74,284,8
45,285,9
1,286,8
30,287,9
49,288,8
77,289,2
21,290,8
46,291,9
97,292,1
12,293,3
48,294,5
33,295,7
5,296,4
91,297,0
99,298,1
85,299,4
79,300,4
9,301,0
44,302,8
91,303,4
1,304,3
38,305,7
1,306,9
73,307,7
18,308,7
50,309,9
83,310,3
31,311,6
40,312,9
30,313,8
97,314,1
1,315,5
13,316,9
70,317,8
83,318,5
1,319,5
26,320,3
78,321,3
57,322,3
12,323,0
0,324,5
43,325,1
59,326,0
0,327,6
55,328,7
53,329,3
26,330,0
29,331,9
81,332,0
87,333,7
72,334,0
11,335,4
24,336,8
69,337,8
71,338,0
0,339,7
81,340,0
60,341,3
13,342,9
80,343,0
8,344,8
14,345,6
43,346,8
36,347,7
8,348,7
76,349,6
62,350,4
51,351,9
54,352,1
13,353,0
37,354,8
35,355,0
69,356,6
30,357,6
81,358,7
59,359,1
76,360,2
64,361,8
3,362,1
58,363,1
83,364,6
55,365,0
36,366,5
2,367,4
22,368,7
69,369,8
71,370,1
34,371,7
77,372,4
44,373,9
14,374,6
80,375,9
11,376,8
86,377,1
21,378,2
10,379,6
64,380,1
11,381,8
83,382,5
68,383,3
39,384,7
85,385,4
78,386,7
62,387,1
25,388,9
3,389,2
47,390,9
3,391,2
66,392,4
86,393,1
7,394,0
68,395,8
96,396,2
32,397,5
91,398,2
49,399,0
93,400,6
75,401,0
52,402,8
20,403,1
74,404,4
4,405,9
9,406,2
0,407,5
63,408,8
96,409,2
12,410,5
30,411,8
11,412,2
73,413,5
78,414,3
63,415,4
70,416,8
97,417,2
83,418,3
85,419,4
75,420,1
48,421,9
72,422,7
88,423,5
96,424,5
20,425,0
65,426,4
65,427,3
95,428,2
2,429,5
53,430,3
2,431,6
90,432,5
72,433,2
38,434,8
33,435,7
9,436,2
37,437,8
74,438,2
78,439,3
56,440,2
75,441,3
55,442,8
17,443,8
69,444,6
19,445,8
6,446,1
12,447,4
30,448,9
53,449,7
51,450,1
29,451,4
36,452,3
86,453,1
36,454,3
29,455,0
58,456,8
20,457,2
58,458,1
22,459,7
21,460,6
62,461,2
35,462,3
65,463,3
36,464,3
29,465,7
87,466,7
34,467,9
47,468,3
84,469,2
95,470,0
37,471,5
91,472,4
12,473,9
78,474,2
64,475,8
69,476,1
5,477,4
55,478,4
27,479,1
9,480,2
32,481,7
62,482,5
74,483,8
23,484,5
85,485,4
75,486,0
2,487,0
91,488,3
70,489,4
16,490,7
3,491,1
79,492,3
45,493,0
72,494,9
53,495,1
29,496,7
80,497,9
9,498,2
35,499,0
2,500,4
90,501,3
22,502,7
83,503,5
79,504,9
60,505,2
93,506,3
42,507,7
61,508,3
57,509,5
76,510,6
19,511,8
46,512,2
58,513,0
10,514,5
32,515,5
75,516,0
57,517,6
6,518,3
36,519,4
51,520,9
90,521,5
42,522,1
44,523,9
11,524,8
39,525,4
7,526,0
68,527,3
80,528,7
24,529,7
35,530,8
14,531,1
14,532,6
56,533,9
47,534,3
55,535,1
86,536,4
48,537,8
91,538,7
85,539,4
78,540,7
57,541,5
88,542,5
36,543,8
32,544,1
90,545,0
31,546,7
89,547,7
91,548,0
94,549,5
33,550,6
14,551,6
49,552,7
73,553,0
21,554,6
88,555,5
0,556,5
5,557,3
93,558,3
