user_id,image_id,class
55,0,1
26,1,6
42,2,6
22,3,8
0,4,8
36,5,3
75,6,4
29,7,6
45,8,0
81,9,6
48,10,0
82,11,3
34,12,6
29,13,6
48,14,5
65,15,4
3,16,8
43,17,3
5,18,2
42,19,6
8,20,0
82,21,3
52,22,1
95,23,4
89,24,0
12,25,6
12,26,6
35,27,2
3,28,7
70,29,6
46,30,9
27,31,0
75,32,4
62,33,5
37,34,7
31,35,1
38,36,6
47,37,7
68,38,9
72,39,1
4,40,7
14,41,7
22,42,8
58,43,0
59,44,3
71,45,7
92,46,4
38,47,7
96,48,3
32,49,1
46,50,0
91,51,4
42,52,6
29,53,6
41,54,1
44,55,4
17,56,9
41,57,2
50,58,6
19,59,4
1,60,5
76,61,0
79,62,4
29,63,6
58,64,0
16,65,8
85,66,3
90,67,4
86,68,8
16,69,8
82,70,3
55,71,9
61,72,5
42,73,7
41,74,1
72,75,9
90,76,4
20,77,7
72,78,9
78,79,1
18,80,9
71,81,7
62,82,5
34,83,2
81,84,7
59,85,3
95,86,4
72,87,8
11,88,8
41,89,2
34,90,1
52,91,5
91,92,9
41,93,2
39,94,7
84,95,8
13,96,8
2,97,6
84,98,8
0,99,8
55,100,1
63,101,3
16,102,8
45,103,8
70,104,5
65,105,4
38,106,7
53,107,1
9,108,6
42,109,6
80,110,1
33,111,6
32,112,1
84,113,6
38,114,7
3,115,0
65,116,4
26,117,6
88,118,9
20,119,5
16,120,8
47,121,7
80,122,1
18,123,9
10,124,0
85,125,3
82,126,3
37,127,7
24,128,6
83,129,9
52,130,0
51,131,4
37,132,7
51,133,1
67,134,4
73,135,3
71,136,4
73,137,3
79,138,9
86,139,8
52,140,7
36,141,0
28,142,8
59,143,3
88,144,9
4,145,1
29,146,0
0,147,8
34,148,0
68,149,9
92,150,4
54,151,0
7,152,2
84,153,1
19,154,4
41,155,2
38,156,7
53,157,1
14,158,7
58,159,0
7,160,2
88,161,9
47,162,7
91,163,9
22,164,8
26,165,6
79,166,4
49,167,4
15,168,1
35,169,1
66,170,7
25,171,8
86,172,8
40,173,6
45,174,4
61,175,5
33,176,6
5,177,3
91,178,9
91,179,4
64,180,2
67,181,5
85,182,3
48,183,6
47,184,7
47,185,7
78,186,3
83,187,9
4,188,1
58,189,3
53,190,1
13,191,8
61,192,3
73,193,3
48,194,5
9,195,6
51,196,4
52,197,0
14,198,9
2,199,6
48,200,6
20,201,5
93,202,0
24,203,6
98,204,2
44,205,0
62,206,5
19,207,4
63,208,9
21,209,3
75,210,4
2,211,6
93,212,0
75,213,6
39,214,7
6,215,0
47,216,7
98,217,2
33,218,6
68,219,9
33,220,6
52,221,5
0,222,4
23,223,5
54,224,4
66,225,7
19,226,7
75,227,6
22,228,8
53,229,1
61,230,5
88,231,9
