user_id,image_id,class
61,0,1
19,1,6
74,2,6
44,3,8
0,4,8
12,5,3
41,6,4
27,7,6
48,8,0
95,9,6
63,10,0
70,11,3
62,12,6
28,13,6
29,14,5
38,15,4
0,16,8
19,17,3
3,18,2
76,19,6
10,20,0
50,21,3
55,22,1
85,23,4
88,24,0
18,25,6
18,26,6
58,27,2
2,28,7
94,29,6
46,30,9
31,31,0
41,32,4
51,33,5
49,34,7
23,35,1
62,36,6
74,37,7
53,38,9
71,39,1
2,40,7
11,41,7
50,42,8
77,43,0
22,44,3
98,45,7
82,46,4
55,47,7
80,48,3
27,49,1
63,50,0
74,51,4
66,52,6
28,53,6
33,54,1
21,55,4
25,56,9
64,57,2
80,58,6
6,59,4
1,60,5
79,61,0
52,62,4
28,63,6
73,64,0
39,65,8
73,66,3
69,67,4
91,68,8
39,69,8
68,70,3
46,71,9
50,72,5
71,73,7
33,74,1
60,75,9
69,76,4
30,77,7
54,78,9
72,79,1
42,80,9
98,81,7
51,82,5
39,83,2
99,84,7
22,85,3
85,86,4
90,87,8
9,88,8
58,89,2
27,90,1
34,91,5
99,92,9
64,93,2
56,94,7
91,95,8
16,96,8
8,97,6
91,98,8
0,99,8
61,100,1
30,101,3
39,102,8
83,103,8
54,104,5
38,105,4
56,106,7
61,107,1
17,108,6
74,109,6
72,110,1
60,111,6
27,112,1
95,113,6
56,114,7
7,115,0
33,116,4
25,117,6
96,118,9
15,119,5
16,120,8
74,121,7
72,122,1
45,123,9
10,124,0
70,125,3
68,126,3
49,127,7
18,128,6
78,129,9
63,130,0
26,131,4
49,132,7
43,133,1
38,134,4
35,135,3
38,136,4
35,137,3
70,138,9
93,139,8
75,140,7
40,141,0
59,142,8
22,143,3
96,144,9
4,145,1
35,146,0
0,147,8
40,148,0
54,149,9
82,150,4
68,151,0
15,152,2
80,153,1
6,154,4
58,155,2
55,156,7
61,157,1
17,158,7
77,159,0
7,160,2
95,161,9
74,162,7
99,163,9
47,164,8
25,165,6
52,166,4
24,167,4
13,168,1
33,169,1
93,170,7
57,171,8
91,172,8
62,173,6
21,174,4
47,175,5
60,176,6
2,177,3
99,178,9
74,179,4
67,180,2
51,181,5
70,182,3
76,183,6
74,184,7
74,185,7
45,186,3
78,187,9
4,188,1
22,189,3
61,190,1
16,191,8
28,192,3
35,193,3
29,194,5
17,195,6
26,196,4
63,197,0
4,198,9
8,199,6
76,200,6
15,201,5
94,202,0
18,203,6
92,204,2
48,205,0
50,206,5
21,207,4
52,208,9
12,209,3
41,210,4
8,211,6
93,212,0
94,213,6
56,214,7
7,215,0
74,216,7
92,217,2
60,218,6
54,219,9
37,220,6
34,221,5
0,222,4
24,223,5
26,224,4
96,225,7
28,226,7
94,227,6
57,228,8
61,229,1
50,230,5
96,231,9
41,232,7
16,233,8
57,234,8
56,235,7
72,236,1
41,237,4
76,238,6
41,239,4
58,240,2
89,241,2
57,242,5
88,243,0
36,244,3
9,245,8
53,246,9
76,247,4
80,248,1
14,249,1
82,250,4
27,251,1
48,252,9
17,253,6
70,254,3
73,255,3
17,256,6
4,257,9
43,258,5
32,259,7
58,260,6
85,261,9
1,262,4
87,263,2
69,264,4
48,265,0
7,266,0
